candidate,family,threshold,prevalence,auroc,auprc,auprc_lift,brier,brier_skill_score,recall,specificity,precision,f1,tn,fp,fn,tp
logistic_c0.1,logistic,0.019916255352114536,0.04383772351470871,0.7790299547380415,0.12441254527629374,2.8380247718508937,0.0403238300494318,0.03798426177412417,0.9473684210526315,0.42079227830283533,0.06975842914352151,0.12994826134039225,10463.0,14402.0,60.0,1080.0
logistic_c1,logistic,0.020000183562751496,0.04383772351470871,0.7782616303477375,0.12388943616022713,2.826091918725181,0.04033927248548048,0.0376158476999362,0.9473684210526315,0.420349889402775,0.06970890079390693,0.12986232189021824,10452.0,14413.0,60.0,1080.0
logistic_c10,logistic,0.020051009279463027,0.04383772351470871,0.7781490222640857,0.12382183126562515,2.8245497561952475,0.04034177271914337,0.03755619899766771,0.9473684210526315,0.42079227830283533,0.06975842914352151,0.12994826134039225,10463.0,14402.0,60.0,1080.0
random_forest_depth12_leaf20,random_forest,0.01776742226505688,0.04383772351470871,0.773412709332148,0.12386428559110294,2.825518198944414,0.04011873996692044,0.04287714736778192,0.9421052631578948,0.42047054092097325,0.06936192198398347,0.12921077959576516,10455.0,14410.0,66.0,1074.0
random_forest_depthNone_leaf40,random_forest,0.018028690195680885,0.04383772351470871,0.7755452425554132,0.1261810983858753,2.8783679504602517,0.04007131342245037,0.04400861434733094,0.9412280701754386,0.4216368389302232,0.06943186230102238,0.12932385199469687,10484.0,14381.0,67.0,1073.0
random_forest_depth8_leaf20,random_forest,0.017560443574974924,0.04383772351470871,0.7724769192234557,0.12323383651170165,2.8111367706024577,0.040114033791829644,0.042989423768576285,0.9377192982456141,0.42095314699376635,0.06911488976530679,0.1287408923947733,10467.0,14398.0,71.0,1069.0
lightgbm_leaves15_child40,lightgbm,0.021049809242346267,0.04383772351470871,0.76282179911875,0.11735532445147269,2.6770396599653923,0.04025383589357795,0.03965412992486017,0.9359649122807018,0.42047054092097325,0.0689410092395167,0.12842269964494193,10455.0,14410.0,73.0,1067.0
extra_trees_depth10_leaf10,extra_trees,0.021721402615259608,0.04383772351470871,0.7576502234875344,0.1086813764771004,2.4791747327078912,0.0405616282233012,0.03231105103240395,0.9350877192982456,0.4255379046853006,0.06944625407166123,0.12929047907822924,10581.0,14284.0,74.0,1066.0
lightgbm_leaves31_child80,lightgbm,0.021954219023131317,0.04383772351470871,0.7542013892563705,0.1079681910774647,2.4629059727802365,0.04046862436066881,0.03452986753516363,0.9280701754385965,0.42059119243917154,0.06841254445522146,0.1274314965371876,10458.0,14407.0,82.0,1058.0
lightgbm_leaves31_child40,lightgbm,0.021942488128138024,0.04383772351470871,0.7543275088989314,0.11042085857139665,2.5188547606571667,0.04042716911307632,0.035518875785797044,0.9271929824561403,0.42026945505730945,0.06831695966907962,0.12725740428605828,10450.0,14415.0,83.0,1057.0
extra_trees_depthNone_leaf20,extra_trees,0.02111049004856503,0.04383772351470871,0.7575930022119446,0.10812344172465573,2.466447457938309,0.040517794902548726,0.03335679357151511,0.9271929824561403,0.420510758093706,0.06834346308030519,0.12730338431892088,10456.0,14409.0,83.0,1057.0
lightgbm_leaves63_child80,lightgbm,0.022583158069856602,0.04383772351470871,0.7498150010054293,0.10574263552849616,2.412137927121529,0.04057253253319466,0.03205090417335943,0.9254385964912281,0.4217172732756887,0.06835557859271738,0.1273078315433812,10486.0,14379.0,85.0,1055.0
