model,split,n,positive_n,prevalence,auroc,auprc,auprc_lift,brier,brier_skill_score,recall,specificity,precision,f1,tn,fp,fn,tp,weighted_prevalence,weighted_auroc,weighted_auprc,weighted_auprc_lift,weighted_brier,weighted_brier_skill_score,weighted_recall,weighted_specificity,weighted_precision,weighted_f1,weighted_tn,weighted_fp,weighted_fn,weighted_tp,threshold
blend_0.0_0.0_0.7_0.3,19-44,3358,45,0.013400833829660513,0.8780762652178288,0.085348761489464,6.368914246258225,0.012965956574570428,0.01930943588064271,0.8444444444444444,0.729852097796559,0.04072883172561629,0.07770961145194274,2418.0,895.0,7.0,38.0,0.013729208354473254,0.8793865515174668,0.07490105624325659,5.455599063645378,0.013446936105012087,0.0069258582162131654,0.8479706472785477,0.7164666449866268,0.03996793631998824,0.07633779510807168,3036.5167861422215,1201.6662575344312,8.969257249125732,50.027621238932895,0.023227178771059433
blend_0.0_0.0_0.7_0.3,45-64,3702,169,0.045650999459751485,0.7224679563942339,0.11455197372789633,2.5092982647377053,0.04252079315933484,0.02401342511397231,0.9171597633136095,0.3212567223322955,0.060712886799843324,0.11388684790595151,1135.0,2398.0,14.0,155.0,0.04917401470341065,0.7219098644814059,0.12391991757575277,2.5200284809602467,0.04538044402681185,0.02941844864763643,0.9200495777119462,0.3059148342458385,0.06415589962214129,0.1199477339121627,1054.6218578044818,2392.8142902476566,14.254487835361344,164.03710121971284,0.023227178771059433
blend_0.0_0.0_0.7_0.3,65+,2631,176,0.0668947168377043,0.649877337530087,0.12199977703904175,1.8237580306234022,0.0622932500127411,0.0020276203447372465,0.9659090909090909,0.09368635437881874,0.0709812108559499,0.13224426293271102,230.0,2225.0,6.0,170.0,0.06744884361938412,0.6496964029892529,0.12283164220055882,1.8211082000708791,0.06259826444713744,0.0047891108908165725,0.9682645764595351,0.09744363000303159,0.07200569742400928,0.13404317679606564,160.66861938931646,1488.1679375443473,3.784632808365331,115.47115098603257,0.023227178771059433
