c_value,threshold,n,positive_n,prevalence,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed,null_probability_train_prevalence,null_model_brier,brier_skill_score
0.01,0.47000000000000003,36273,917,0.025280511675350812,0.6271358081063119,0.03993255904397802,1.579578750493146,0.6826608505997819,0.5004808236225817,0.03423196806474545,0.06519475109352219,0.23677018781563358,0.50414909161084,17695,17661,291,626,True,0.025280511675350812,0.024641407404783267,-8.608630867799903
0.1,0.47000000000000003,36273,917,0.025280511675350812,0.6271377512641938,0.0399301008943837,1.5794815155310578,0.6804798255179935,0.5018950107478222,0.03421990677268988,0.06516290726817042,0.23677524626291077,0.502715518429686,17745,17611,293,624,True,0.025280511675350812,0.024641407404783267,-8.608836150200947
1.0,0.47000000000000003,36273,917,0.025280511675350812,0.6271372269200034,0.03993121102631071,1.5795254280887332,0.6804798255179935,0.5018950107478222,0.03421990677268988,0.06516290726817042,0.23677675168813567,0.502715518429686,17745,17611,293,624,True,0.025280511675350812,0.024641407404783267,-8.608897243514335
10.0,0.47000000000000003,36273,917,0.025280511675350812,0.6271381213895046,0.03993150305917341,1.579536979787783,0.6804798255179935,0.5019232944903269,0.034221783481408356,0.06516630985327138,0.2367769088366579,0.5026879497146638,17746,17610,293,624,True,0.025280511675350812,0.024641407404783267,-8.608903620931
