method,group,n,mae_cm,rmse_cm,r2,bias_cm
training_fold_median,all,25925,8.299579556412729,10.336428097036583,-0.004956217194512114,-0.13677145612343528
training_fold_median,19-44,10294,9.486030697493685,11.579675252726938,-0.0364493047943939,2.05502234311249
training_fold_median,45-64,9929,7.458183100010072,9.35741716057432,-0.012318831201363345,-0.7641152180481441
training_fold_median,65+,5702,7.622781480182392,9.551184180843821,-0.11665906592153696,-3.001280252542969
anthropometric_hgb,all,25925,3.0638770105807893,3.9704057368774084,0.8517222644843819,-0.0039023778140897672
anthropometric_hgb,19-44,10294,2.943381804684709,3.8720355501228303,0.8841131984199333,-0.008815685574097221
anthropometric_hgb,45-64,9929,3.0190491568998907,3.8506131825095564,0.8285785674535824,0.021292646238532827
anthropometric_hgb,65+,5702,3.3594703828522543,4.334548236184496,0.7700180049925726,-0.0389047986729067
