model,split,n,positive_n,prevalence,auroc,auprc,auprc_lift,brier,brier_skill_score,recall,specificity,precision,f1,tn,fp,fn,tp,weighted_prevalence,weighted_auroc,weighted_auprc,weighted_auprc_lift,weighted_brier,weighted_brier_skill_score,weighted_recall,weighted_specificity,weighted_precision,weighted_f1,weighted_tn,weighted_fp,weighted_fn,weighted_tp,threshold
blend_0.0_0.0_0.7_0.3,19-44,3358,45,0.013400833829660513,0.8741254988764798,0.08867681877227677,6.617261276384564,0.013241921883151762,-0.0015634224074059233,0.8444444444444444,0.7349833987322668,0.04148471615720524,0.07908428720083246,2435.0,878.0,7.0,38.0,0.013729208354473254,0.8756899328700584,0.0784443555850966,5.713683816265913,0.013821206388689528,-0.02071450073660519,0.8479706472785477,0.7195140695414924,0.040384643319373574,0.07709751379449402,3049.432329217537,1188.7507144591152,8.969257249125732,50.027621238932895,0.02323125331773926
blend_0.0_0.0_0.7_0.3,45-64,3702,169,0.045650999459751485,0.7300900888830084,0.11824689068477837,2.5902366231659735,0.04235891718346349,0.027728990311803647,0.9408284023668639,0.3189923577696009,0.06198830409356725,0.1163130943672275,1127.0,2406.0,10.0,159.0,0.04917401470341065,0.7282317361726409,0.12722217135481437,2.5871829282629304,0.04525499424781481,0.032101525989141066,0.9473151536790382,0.3029655832678317,0.06567115345065545,0.12282748223845913,1044.4545033732231,2402.9816446789155,9.393264969686667,168.89832408538751,0.02323125331773926
blend_0.0_0.0_0.7_0.3,65+,2631,176,0.0668947168377043,0.6554202925384188,0.12451216731268572,1.8613154102254323,0.061790621569066964,0.010080006500754246,0.9602272727272727,0.08961303462321792,0.07029950083194675,0.1310077519379845,220.0,2235.0,7.0,169.0,0.06744884361938412,0.654515968657037,0.12463972258794961,1.8479148922299597,0.062169081603788076,0.011612422094289698,0.9646745862609609,0.09277042458977552,0.0714146494992125,0.13298448643389046,152.9632674658796,1495.8732894677844,4.212759903310504,115.0430238910874,0.02323125331773926
