model,model_group,postprocessing,candidate,threshold_source,n,positive_n,prevalence,threshold,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,null_probability_train_prevalence,null_model_brier,brier_skill_score,expected_calibration_error,constraints_passed
stacking,ensemble,raw_fixed_0.5,stacking__raw_fixed_0_5,fixed_0.5,9691,390,0.0402435249200288,0.5,0.7680536143067054,0.111585428218884,2.7727548329979625,0.8,0.598107730351575,0.077037037037037,0.1405405405405405,0.2316327920937071,0.4179135280156846,5563,3738,78,312,0.0438377235147087,0.0386369018855779,-4.995118158792369,0.3795672985592052,True
stacking,ensemble,raw_threshold_tuned,stacking__raw_threshold_tuned,validation,9691,390,0.0402435249200288,0.3742022970457518,0.7680536143067054,0.111585428218884,2.7727548329979625,0.8897435897435897,0.4956456295022041,0.0688765383088527,0.1278555637435519,0.2316327920937071,0.5198637911464246,4610,4691,43,347,0.0438377235147087,0.0386369018855779,-4.995118158792369,0.3795672985592052,False
stacking,ensemble,sigmoid_threshold_tuned,stacking__sigmoid_threshold_tuned,validation,9691,390,0.0402435249200288,0.0279112414649987,0.7680536143067054,0.111585428218884,2.7727548329979625,0.8897435897435897,0.4956456295022041,0.0688765383088527,0.1278555637435519,0.0374838016135918,0.5198637911464246,4610,4691,43,347,0.0438377235147087,0.0386369018855779,0.0298445324472683,0.0119312556463048,False
stacking,ensemble,isotonic_threshold_tuned,stacking__isotonic_threshold_tuned,validation,9691,390,0.0402435249200288,0.0417867435158501,0.7663191716358042,0.103932917735294,2.5825997583916265,0.8743589743589744,0.511772927642189,0.0698484227775501,0.1293626707132018,0.0375195713170532,0.503766381178413,4760,4541,49,341,0.0438377235147087,0.0386369018855779,0.0289187412550202,0.0115963730656299,True
